City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
250,Maiduguri,NG,11.8464,13.1603,78.33,28,36,5.12,scattered clouds
251,Vanavara,RU,60.34,102.2797,6.22,59,98,6.93,overcast clouds
252,Srednekolymsk,RU,67.45,153.6833,-0.9,86,99,1.81,overcast clouds
253,Te Anau,NZ,-45.4167,167.7167,60.89,42,4,2.55,clear sky
254,Nanortalik,GL,60.1432,-45.2371,39.15,93,73,11.43,light rain
255,Gondanglegi,ID,-7.7479,112.0132,89.73,54,100,3.11,overcast clouds
256,Bengkulu,ID,-3.8004,102.2655,80.46,77,100,2.24,overcast clouds
257,Flinders,AU,-34.5833,150.8552,78.8,60,75,7.0,broken clouds
258,Cassilandia,BR,-19.1133,-51.7342,71.33,65,61,2.39,broken clouds
259,Cayenne,GF,4.9333,-52.3333,81.09,81,40,3.0,scattered clouds
260,Russell,US,32.3502,-85.1999,56.8,77,1,4.61,clear sky
261,Haj Ve Slezsku,CZ,49.8986,18.0954,44.01,95,41,8.77,scattered clouds
262,Luanda,AO,-8.8368,13.2343,75.2,88,75,6.91,broken clouds
263,Locri,IT,38.2414,16.2623,64.81,72,53,2.82,broken clouds
264,Itarema,BR,-2.9248,-39.9167,78.67,82,30,10.87,scattered clouds
265,Nioro,GM,13.35,-15.75,74.41,78,71,5.19,broken clouds
266,Kununurra,AU,-15.7667,128.7333,98.58,39,52,6.91,broken clouds
267,Bouna,CI,9.2667,-3.0,73.36,75,100,3.85,overcast clouds
268,Oussouye,SN,12.485,-16.5469,78.1,79,100,4.88,overcast clouds
269,Vinh,VN,18.6667,105.6667,78.67,82,77,6.42,broken clouds
270,Veraval,IN,20.9,70.3667,83.14,46,17,11.97,few clouds
271,Prado,BR,-17.3411,-39.2208,74.05,94,100,11.99,overcast clouds
272,Tete,MZ,-16.1564,33.5867,82.49,47,0,3.44,haze
273,Lengshuitan,CN,26.4111,111.5956,61.34,93,99,2.28,light rain
274,Tecoanapa,MX,16.5167,-98.75,78.31,83,97,6.35,overcast clouds
275,Aleksandrov Gay,RU,50.147,48.5704,40.15,77,95,12.77,overcast clouds
276,Rameswaram,IN,9.2833,79.3,82.2,76,100,4.0,overcast clouds
277,Mayumba,GA,-3.432,10.6554,75.09,90,65,1.1,light rain
278,Krasnyy Chikoy,RU,50.3643,108.7512,42.08,31,66,5.32,broken clouds
279,Puerto Escondido,MX,15.85,-97.0667,78.76,80,78,3.11,broken clouds
