City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,Chepareria,1.3077,35.2039,60.82,69,55,5.3,KE,2021-11-02 01:10:53
164,Esperance,-33.8667,121.9,60.13,59,72,18.1,AU,2021-11-02 01:10:32
165,Vila Franca Do Campo,37.7167,-25.4333,74.19,90,100,5.5,PT,2021-11-02 01:10:53
166,Garmsar,35.2182,52.3409,62.08,53,13,1.36,IR,2021-11-02 01:10:54
167,Olga,43.7444,135.2892,46.65,68,100,5.03,RU,2021-11-02 01:10:54
168,Anchorage,61.2181,-149.9003,42.42,92,90,1.99,US,2021-11-02 01:09:22
169,Xining,36.6167,101.7667,34.23,69,93,1.48,CN,2021-11-02 01:10:54
170,Sabang,5.8933,95.3214,81.05,75,100,3.96,ID,2021-11-02 01:10:55
171,Ponta Delgada,37.7333,-25.6667,74.5,100,75,3.44,PT,2021-11-02 01:10:55
172,Conakry,9.538,-13.6773,76.35,77,30,7.83,GN,2021-11-02 01:10:56
173,Catalina Foothills,32.2979,-110.9187,78.01,25,20,1.01,US,2021-11-02 01:10:56
174,Faanui,-16.4833,-151.75,80.2,77,11,14.2,PF,2021-11-02 01:10:57
175,Shelburne,44.0787,-80.2041,39.76,70,39,12.71,CA,2021-11-02 01:10:57
176,Sao Filipe,14.8961,-24.4956,79.61,76,87,3.69,CV,2021-11-02 01:10:58
177,Belmonte,-15.8631,-38.8828,79.3,85,85,9.89,BR,2021-11-02 01:10:58
178,Newburgh,41.5034,-74.0104,49.08,77,1,5.75,US,2021-11-02 01:10:59
179,Alofi,-19.0595,-169.9187,82.29,61,75,13.8,NU,2021-11-02 01:10:59
180,Victor Harbor,-35.5667,138.6167,88.2,40,100,12.24,AU,2021-11-02 01:10:59
181,Hamilton,39.1834,-84.5333,49.73,62,90,1.99,US,2021-11-02 01:09:27
182,Ouadda,8.0777,22.4007,68.31,94,100,3.4,CF,2021-11-02 01:11:00
183,Marneuli,41.4759,44.8089,50.74,75,28,2.24,GE,2021-11-02 01:11:00
184,Hokitika,-42.7167,170.9667,59.14,65,1,14.81,NZ,2021-11-02 01:11:01
185,Springbok,-29.6643,17.8865,43.7,88,1,2.39,ZA,2021-11-02 01:11:01
186,Looc,12.2605,121.9926,83.52,68,32,13.18,PH,2021-11-02 01:11:02
187,Olinda,-8.0089,-34.8553,82.13,74,75,9.22,BR,2021-11-02 01:11:03
188,Longyearbyen,78.2186,15.6401,22.84,68,75,20.71,SJ,2021-11-02 01:11:03
189,Lagoa,39.05,-27.9833,69.46,84,72,2.75,PT,2021-11-02 01:11:03
190,Damara,4.9608,18.7035,68.92,92,98,1.99,CF,2021-11-02 01:11:04
191,Virginia Beach,36.8529,-75.978,60.03,82,75,0.0,US,2021-11-02 01:08:23
192,Santa Rita,-7.1139,-34.9781,79.47,78,20,6.91,BR,2021-11-02 01:11:04
193,La Ronge,55.1001,-105.2842,29.66,66,95,5.68,CA,2021-11-02 01:11:05
194,Mandalgovi,45.7625,106.2708,28.42,40,0,10.67,MN,2021-11-02 01:11:05
195,Bambanglipuro,-7.95,110.2833,81.34,78,63,6.04,ID,2021-11-02 01:11:06
196,Iqaluit,63.7506,-68.5145,23.7,68,100,15.01,CA,2021-11-02 01:11:06
197,Shirokiy,49.758,129.523,33.42,32,20,6.69,RU,2021-11-02 01:11:06
198,Seoul,37.5683,126.9778,54.91,82,20,4.61,KR,2021-11-02 01:11:07
199,Norman Wells,65.282,-126.8329,22.01,83,5,5.7,CA,2021-11-02 01:11:07
200,Kodiak,57.79,-152.4072,37.87,72,100,14.12,US,2021-11-02 01:11:07
201,Kavaratti,10.5669,72.642,81.28,77,69,5.1,IN,2021-11-02 01:11:08
202,Kapaa,22.0752,-159.319,82.38,78,90,1.99,US,2021-11-02 01:11:08
203,Tabou,4.423,-7.3528,76.78,90,47,5.37,CI,2021-11-02 01:11:08
204,Timmins,48.4669,-81.3331,30.4,78,11,8.9,CA,2021-11-02 01:08:02
205,Tuatapere,-46.1333,167.6833,52.83,55,81,12.82,NZ,2021-11-02 01:11:09
206,Pitimbu,-7.4706,-34.8086,79.39,75,60,12.1,BR,2021-11-02 01:11:09
207,Souillac,-20.5167,57.5167,70.36,83,13,7.65,MU,2021-11-02 01:11:09
208,Haines Junction,60.7522,-137.5108,32.88,66,13,2.66,CA,2021-11-02 01:11:10
209,Honiara,-9.4333,159.95,83.37,77,96,1.83,SB,2021-11-02 01:11:10
210,Half Moon Bay,37.4636,-122.4286,64.42,91,90,4.0,US,2021-11-02 01:11:11
211,Pangnirtung,66.1451,-65.7125,13.37,76,36,7.94,CA,2021-11-02 01:11:11
212,Sao Felix Do Xingu,-6.6447,-51.995,72.88,98,100,0.96,BR,2021-11-02 01:11:12
213,Omboue,-1.5746,9.2618,73.51,94,88,3.15,GA,2021-11-02 01:11:12
214,Petukhovo,55.0692,67.9019,17.1,59,99,16.15,RU,2021-11-02 01:11:12
215,Aasiaat,68.7098,-52.8699,24.04,87,36,1.54,GL,2021-11-02 01:11:13
216,Marion,39.7684,-86.1555,44.92,70,75,8.05,US,2021-11-02 01:08:05
217,Nyurba,63.2842,118.3319,23.45,96,100,5.88,RU,2021-11-02 01:11:13
218,Los Chiles,11.0333,-84.7167,73.58,97,100,3.58,CR,2021-11-02 01:11:13
219,Jibuti,11.5,42.5,71.02,56,21,7.02,DJ,2021-11-02 01:11:14
220,Ambulu,-8.345,113.6058,78.03,89,88,2.48,ID,2021-11-02 01:11:14
221,Pskov,57.8136,28.3496,39.06,83,0,7.67,RU,2021-11-02 01:11:14
222,Port Hardy,50.6996,-127.4199,46.38,91,100,10.83,CA,2021-11-02 01:11:15
